Cluster ID,Company Names
430,"star health & allied insurance, star health and allied insurance company limited"
431,xl dynamics
432,"laurus labs, laurus labs, laurus labs"
433,"citibank, citibank, citi private bank, citibank uk limited"
434,"jindal stainless, jindal stainless steelway, jindal stainless (hisar), jindal stainless, jindal stainless ltd, jindal stainless, jindal stainless (hisar)"
435,"reckitt benckiser, reckitt benckiser, reckitt benckiser group, reckitt benckiser group, reckitt benckiser group"
436,"divi's laboratories, divi's laboratories ltd, divi's laboratories"
437,"tata elxsi, tata elxsi"
438,"aon, aon, aon, aon, aon"
439,reliance general insurance
440,xoriant
441,"procter & gamble, procter & gamble, procter & gamble india, procter & gamble, procter & gamble, procter & gamble holding srl, procter & gamble, the procter & gamble co, procter & gamble company, procter & gamble health limited, procter & gamble srl"
442,"intellect design arena, intellect design arena"
443,allsec technologies
444,microland
445,uflex
446,cavinkare
447,kotak securities
448,amazon transportation services
449,harman connected services
450,"fedex express, fedex, fedex, fedex, fedex corporation, fedex, fedex corp, fedex corporation"
451,dell emc
452,"adecco group, adecco group ag, adecco, adecco group a.g., adecco group ag"
453,"kone, kone, kone, kone"
454,mother dairy fruit & vegetable
455,"philips, philips, philips, philips, philips, philips"
456,max fashion
457,"bank of baroda, bank of baroda, bank of baroda, bank of baroda, bank of baroda"
458,citicorp
459,"quest global, global quest ltd"
460,"motilal oswal financial services, motilal oswal securities, motilal oswal financial services"
461,itc hotels
462,fincare small finance bank
463,innovsource services
464,aircel
465,angel one
466,dainik bhaskar group of publication
467,"cma cgm, cma cgm, cma cgm sa"
468,"verizon, verizon, verizon communications, verizon, verizon communications, verizon communications inc, verizon communications, verizon international holdings inc."
469,exl india
